Zona;Mes Año;Q
Centro;09/17;107
Centro;10/17;110
Centro;11/17;101
Centro;12/17;109
Centro;01/18;82
Centro;02/18;78
Centro;03/18;105
Centro;04/18;134
Centro;05/18;115
Centro;06/18;120
Centro;07/18;106
Centro;08/18;119
Centro;09/18;74
Centro;10/18;155
Centro;11/18;173
Centro;12/18;138
Centro;01/19;131
Centro;02/19;94
Centro;03/19;97
Centro;04/19;102
Centro;05/19;120
Centro;06/19;119
Centro;07/19;88
Centro;08/19;109
Centro;09/19;82
Centro;10/19;99
Centro;11/19;100
Centro;12/19;121
Norte;09/17;36
Norte;10/17;46
Norte;11/17;31
Norte;12/17;35
Norte;01/18;44
Norte;02/18;22
Norte;03/18;40
Norte;04/18;43
Norte;05/18;34
Norte;06/18;31
Norte;07/18;35
Norte;08/18;35
Norte;09/18;19
Norte;10/18;63
Norte;11/18;65
Norte;12/18;30
Norte;01/19;39
Norte;02/19;33
Norte;03/19;29
Norte;04/19;32
Norte;05/19;33
Norte;06/19;40
Norte;07/19;35
Norte;08/19;40
Norte;09/19;31
Norte;10/19;27
Norte;11/19;29
Norte;12/19;44
Sur;09/17;37
Sur;10/17;45
Sur;11/17;36
Sur;12/17;26
Sur;01/18;37
Sur;02/18;30
Sur;03/18;40
Sur;04/18;41
Sur;05/18;31
Sur;06/18;39
Sur;07/18;42
Sur;08/18;31
Sur;09/18;34
Sur;10/18;54
Sur;11/18;68
Sur;12/18;48
Sur;01/19;47
Sur;02/19;44
Sur;03/19;29
Sur;04/19;24
Sur;05/19;33
Sur;06/19;45
Sur;07/19;20
Sur;08/19;40
Sur;09/19;28
Sur;10/19;21
Sur;11/19;34
Sur;12/19;47
