;;Fecha de registro;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comuna;Zonas;septiembre 2017;octubre 2017;noviembre 2017;diciembre 2017;enero 2018;febrero 2018;marzo 2018;abril 2018;mayo 2018;junio 2018;julio 2018;agosto 2018;septiembre 2018;octubre 2018;noviembre 2018;diciembre 2018;enero 2019;febrero 2019;marzo 2019;abril 2019;mayo 2019;junio 2019;julio 2019;agosto 2019;septiembre 2019;octubre 2019;noviembre 2019;diciembre 2019
1;Centro;26,034;15,059;125,467;66,371;65,854;49,897;19,840;12,666;119,034;6,733;60,385;162,377;12,590;5,138;7,942;10,338;29,183;11,715;10,483;16,000;12,179;86,406;61,157;7,008;1,281;1,442;45,775;12,865
2;Norte;2,895;10,543;12,092;11,082;14,046;16,849;;7,255;14,873;2,747;39,375;15,388;1,007;10,671;7,172;1,590;10,290;5,882;138,840;7,252;8,854;5,112;15,181;2,347;131;2,479;7,162;9,137
3;Centro;8,785;3,710;13,121;11,262;8,936;7,130;32,575;2,865;27,218;7,070;8,374;6,681;1,382;9,145;4,967;30,939;28,578;;8,488;9,445;11,245;13,044;37,142;3,270;3,796;3,355;682;13,075
4;SUR;5,837;15,635;36,480;27,383;16,881;3,998;26,744;4,775;21,776;7,776;45,969;16,562;33,713;27,794;79,256;6,924;17,015;5,658;6,735;13,194;3,777;2,318;9,361;11,711;6,018;12,149;2,578;18,993
5;Centro;29,526;35,376;16,118;10,569;11,147;6,088;10,137;11,681;16,520;30,608;17,565;12,748;11,580;33,976;15,073;29,162;36,915;4,535;2,047;27,225;6,092;8,112;2,717;9,921;5,102;23,707;8,300;2,216
6;Centro;21,793;13,210;17,482;25,937;31,766;11,060;14,361;18,755;17,148;166,858;17,614;10,254;14,043;38,578;36,527;31,089;55,740;15,483;21,272;13,960;22,272;23,383;5,330;24,193;3,867;15,799;7,500;9,632
7;Centro;13,272;22,272;12,012;17,394;12,818;13,306;11,323;77,299;6,624;37,774;29,083;10,659;2,035;23,070;24,868;10,056;35,021;32,520;13,969;3,707;20,024;10,379;16,880;8,887;6,790;825;1,483;4,324
8;SUR;12,673;2,549;742;1,276;2,405;4,486;2,791;1,433;456;11,193;2,487;616;27,820;15,647;7,392;22,013;3,108;367;1,180;23,160;151;925;592;552;71;967;525;1,529
9;SUR;12,434;12,346;15,227;5,883;8,206;5,435;8,523;19,484;4,995;21,518;11,259;3,900;5,124;14,359;20,283;26,227;10,679;15,334;5,908;5,591;2,593;3,136;4,196;5,539;9,373;6,640;4,128;2,621
10;SUR;17,659;22,754;12,174;15,507;20,720;8,424;8,212;17,067;6,873;16,558;17,795;8,904;7,029;15,574;55,727;35,361;16,921;27,034;10,316;4,581;8,625;7,397;6,088;3,059;5,728;3,009;166,948;9,875
11;Centro;20,915;22,561;20,627;16,686;14,003;11,603;21,282;40,258;26,781;18,295;26,561;43,782;16,880;31,984;38,682;13,135;22,959;52,625;17,693;10,896;25,823;17,474;13,660;12,130;17,641;12,050;17,798;55,706
12;Centro;22,872;42,178;72,053;43,640;16,183;42,490;16,354;42,199;66,724;69,704;13,951;32,774;12,126;48,753;19,507;179,206;25,942;15,550;26,961;25,129;43,973;53,400;32,704;76,637;18,518;9,814;8,496;13,903
13;Norte;48,621;44,500;9,040;30,786;31,485;12,628;32,556;51,954;17,167;29,696;35,413;74,720;11,822;103,390;47,012;8,555;35,284;45,136;12,489;26,135;8,096;16,672;12,396;17,599;42,793;43,927;23,601;37,579
14;Norte;45,371;92,695;76,603;82,979;87,385;39,314;37,519;49,500;42,530;53,232;29,833;33,842;29,503;76,428;62,671;65,821;49,144;35,292;24,945;19,633;33,080;11,828;27,324;33,249;8,416;5,115;28,605;40,075
15;Centro;20,522;53,159;21,791;45,708;23,769;17,100;113,964;32,993;58,708;34,193;34,790;38,265;22,060;38,566;36,438;25,123;34,566;36,302;13,686;139,708;25,800;21,803;27,430;3,781;11,754;58,919;7,679;12,010
